predicted_scores,ground_truth_scores
-0.078697525,0.9656026
-0.079462245,1.3618532
-0.07975289,0.19528343
-0.079863235,1.0750062
-0.0792357,1.3917633
-0.07590444,1.1065996
-0.079482965,1.0624703
-0.07933223,0.80654013
-0.07936421,1.230274
-0.07954208,1.2221739
-0.078985885,1.311956
-0.078963935,1.3730983
-0.0670173,1.3375899
-0.07843634,1.230274
-0.07965027,0.9197768
-0.079620406,0.91586727
-0.07856778,1.1744957
-0.07938075,1.006208
-0.07873065,1.1014345
-0.07904466,0.8214359
-0.079788245,0.9656026
-0.079661965,1.4485605
-0.07912578,1.4283828
-0.07921099,0.94916
-0.07959186,0.9793085
-0.07524332,1.086342
-0.07574978,1.0232759
-0.0799877,0.934898
-0.06531915,1.5275555
-0.07899033,0.7472784
-0.07923125,1.0142692
-0.07927692,0.8214359
-0.07922155,1.0577755
-0.078554824,1.1795434
-0.07895098,1.5089302
-0.079298474,0.76139474
-0.07718264,1.1165268
-0.07970624,1.1347418
-0.079326615,1.0922753
-0.07941104,1.2475238
-0.07873991,0.980695
-0.079185545,1.0791028
-0.078346856,1.2532454
-0.07922071,1.239188
-0.07964951,1.1065996
-0.079435155,1.2523588
-0.078417055,1.2201377
-0.07919772,0.86802727
-0.07839895,0.7352302
-0.07945767,0.6496583
-0.07857082,2.0105162
-0.07717004,1.0624703
-0.07813266,1.1689008
-0.07909334,1.0845563
-0.077504024,1.1496756
-0.0790363,1.1618042
-0.068692684,1.3912815
-0.07952089,1.1123675
-0.07923494,1.0003369
-0.07902364,0.7535398
-0.07878264,0.9197768
-0.07880746,0.6781823
-0.07919747,0.9018098
-0.07892213,0.9861544
-0.07985662,0.9354177
-0.07719015,1.3881907
-0.07905867,0.76139474
-0.0784488,1.042384
-0.079651095,0.68564373
-0.07681453,1.1165268
-0.0802344,0.66329324
-0.07940264,0.5783484
-0.07899401,1.086342
-0.077888764,1.2695503
-0.07953639,0.85099804
-0.07859898,0.4955346
-0.078974634,1.0986137
-0.07957729,1.1198078
-0.07916963,0.97046906
-0.07575689,1.4027724
-0.074082375,0.81298465
-0.07626743,0.9555352
-0.06877003,0.90523285
-0.07937327,0.7630875
-0.079442196,0.8757528
-0.07838333,0.7763286
-0.07834425,1.1612746
-0.07873476,0.9656026
-0.0786882,1.2251306
-0.07988481,0.7128022
-0.07865382,1.2094111
-0.07939762,0.8635881
-0.07912824,0.84558016
-0.059181333,1.4781641
-0.07903929,0.9164905
-0.07922794,1.0204699
-0.06559215,1.2953237
-0.07944653,0.8957997
-0.07915682,0.82080215
-0.079578035,0.8493261
-0.07920354,1.178897
-0.07907131,0.829617
-0.078108184,0.7990279
-0.07894603,0.92992467
-0.079034425,0.7844933
-0.079223074,1.045838
-0.077876404,1.5379566
-0.07919013,1.0142692
-0.078376524,0.678279
-0.07807665,1.104874
-0.07996531,0.7797199
-0.07943102,1.178897
-0.07833029,0.78935045
-0.07973556,0.87951416
-0.0785726,1.0387034
-0.07853492,1.1126711
-0.063559316,1.4632871
-0.07905334,1.0125732
-0.07942156,1.1123675
-0.07969612,1.2976362
-0.07836611,0.94060135
-0.07859593,0.8493261
-0.07931847,1.1267749
-0.0771153,1.0410647
-0.072959036,1.239188
-0.07722871,0.7912625
-0.07019288,1.5678244
-0.079501085,0.66329324
-0.07988755,0.5575301
-0.0797947,0.4660298
-0.07974869,0.19528343
-0.078897744,0.9715263
-0.07866232,1.2990144
-0.07858015,1.3285885
-0.07927733,1.6468531
-0.07779515,1.1618042
-0.079705626,0.7780162
-0.079568066,0.9439821
-0.07978084,0.8808658
-0.07964329,1.4359919
-0.078870505,0.78069824
-0.08017238,0.7494922
-0.07788338,0.80785674
-0.07910477,0.7352302
-0.07908685,1.1630898
-0.07786719,1.1060418
-0.07988827,0.7912625
-0.07953211,1.230274
-0.079207875,0.7494922
-0.074637115,0.7922782
-0.07962373,0.8621736
-0.078143135,1.1473373
-0.079662,0.7352302
-0.07900784,0.8621736
-0.07903722,1.0387034
-0.0790972,0.72096825
-0.078455836,1.9772513
-0.078918695,1.0750062
-0.078518674,0.9127789
-0.07991364,0.7331208
-0.07973733,0.75430846
-0.07904251,0.78069824
-0.079672314,0.7472784
-0.0792719,0.9294113
-0.07843982,0.81298465
-0.078378394,1.1970156
-0.07872833,1.2840806
-0.07670913,1.3375899
-0.07806012,1.0125732
-0.07865708,0.7922782
-0.07789849,1.0451385
-0.07857561,1.1267749
-0.07681092,0.94060135
-0.07842567,1.1970156
-0.07752206,1.0142692
-0.079096295,1.3288822
-0.07949474,0.8061964
-0.0795845,0.86802727
-0.079756744,0.35817996
-0.07934044,1.0632559
-0.07903977,0.8852771
-0.07918946,1.2121618
-0.07917823,1.0108799
-0.077150755,1.8711486
-0.07860621,0.7128022
-0.073830366,0.7942775
-0.0771917,0.81298465
-0.0785752,0.902527
-0.07918116,1.2523588
-0.079555236,1.0292056
-0.0787935,0.8757528
-0.07836177,0.7763286
-0.07722758,1.1440247
