predicted_scores,ground_truth_scores
0.24443212,0.03332
0.24489349,0.065236
0.20657618,0.171903
0.053084306,0.236539
-0.0379926,0.357941
0.24976274,0.032371
0.24725576,0.0682
0.17823452,0.219959
-0.0588184,0.549672
-0.06131061,0.71022
0.24982587,0.026943
0.25108585,0.07438
0.23769777,0.245089
0.0151223065,0.545794
-0.080169655,0.810573
0.22769059,0.046471
0.17602605,0.246678
0.014821623,0.370894
-0.063310355,0.483852
-0.076273575,0.644948
0.24551134,0.075542
0.23112257,0.200369
0.043063298,0.39911
0.20791703,0.050866
0.1936893,0.187574
0.053123023,0.322696
-0.042469688,0.431555
-0.07388342,0.544838
0.23108903,0.027168
0.2021924,0.098655
0.08574987,0.425072
-0.06988865,0.744926
-0.07406287,0.845802
0.24620646,0.031707
0.22087227,0.182316
0.074949086,0.434438
-0.07223324,0.681236
-0.08004707,0.885726
0.17771599,0.094844
0.0064955163,0.309781
-0.06979922,0.524452
-0.07524962,0.653247
-0.07752341,0.752071
0.2255257,0.073889
0.19369881,0.198001
0.09607014,0.389842
0.042674873,0.470886
0.19910234,0.018848
0.13860454,0.063487
-0.009040025,0.21174
-0.063686915,0.293439
-0.07765951,0.434127
0.19341412,0.021858
0.19451371,0.059661
-0.06127694,0.260905
-0.075910114,0.555248
-0.07705921,0.710816
0.20778488,0.004027
0.1861045,0.07784
-0.042438004,0.187381
-0.07796266,0.5554
-0.07987064,0.756591
0.15868825,0.047634
0.0329833,0.224576
-0.059203178,0.411411
-0.07817864,0.536042
-0.07919131,0.679135
0.20667599,0.04066
0.20689745,0.220943
0.17651099,0.319527
0.13849019,0.378758
0.21973099,0.031592
0.2074684,0.125135
0.13843101,0.244957
-0.01607078,0.372947
-0.07218425,0.501263
0.22079456,0.030282
0.21459568,0.064545
0.11832748,0.388892
0.014968559,0.60726
-0.0746711,0.819082
0.22611463,0.027045
0.22057927,0.191014
0.08537553,0.485551
-0.078043714,0.754413
-0.08005254,0.955908
0.16750908,0.125646
0.062457707,0.318731
-0.047008447,0.475221
-0.07720522,0.600628
-0.079178214,0.707734
0.23043977,0.037807
0.21424252,0.163089
0.006673914,0.366567
-0.046333566,0.452587
0.18611488,0.005539
0.14946066,0.109029
0.08535169,0.204356
-0.008713277,0.325231
-0.06334008,0.469608
0.17813557,0.002154
0.1596542,0.033951
0.1182846,0.258088
-0.06324338,0.58604
-0.07375285,0.72366
0.18616545,0.002141
0.1780335,0.07252
0.12929203,0.385885
-0.027365034,0.63062
-0.079625234,0.804854
0.15915456,0.011536
0.07436975,0.088824
-0.04239479,0.264691
-0.07292434,0.467049
-0.07803516,0.638799
0.18634936,0.097268
0.15955314,0.209819
0.015051092,0.352458
-0.032918576,0.416757
0.11710923,0.087792
0.052999195,0.149679
-0.0380708,0.274742
-0.06846646,0.375346
-0.077479936,0.479589
0.11776875,0.022005
0.07481508,0.134202
-0.061253212,0.646726
-0.06984203,0.761771
-0.07750227,0.846264
0.13954833,0.044337
0.015065093,0.237538
-0.07295522,0.558713
-0.07976204,0.761955
-0.08008384,0.977123
0.07391408,0.169833
-0.056407925,0.271892
-0.07298759,0.447987
-0.075236425,0.568643
-0.07783799,0.680636
0.106495544,0.026858
0.05238463,0.144776
-0.033591233,0.279523
-0.056545902,0.378507
0.20079966,0.012407
0.16755949,0.08107
0.04216532,0.183266
-0.05652819,0.324758
-0.07485381,0.467743
0.22596991,0.015565
0.2261468,0.06327
0.014496028,0.323963
-0.061453313,0.567924
-0.05655537,0.765559
0.23068132,0.014624
0.18651348,0.106412
0.02343276,0.380948
-0.078666925,0.665182
-0.07994236,0.820598
0.15802106,0.030943
-0.028691642,0.20824
-0.07119753,0.320127
-0.07809805,0.513709
-0.07872567,0.598478
0.22517577,0.013177
0.2077807,0.14237
0.07442584,0.258125
0.015045754,0.323351
0.23053232,0.051841
0.22588393,0.197147
0.14977817,0.288616
-0.02179414,0.409103
-0.070935145,0.48983
0.23953052,0.031199
0.21519077,0.118715
