predicted_scores,ground_truth_scores
0.25462344,80.232
0.23437539,57.3005
0.25697815,78.1558
0.25712305,59.3179
0.19276214,47.1778
0.2513881,84.6517
0.24773036,50.8675
0.21761082,46.8902
0.25535965,80.7925
0.16269317,31.2785
0.2486018,87.2287
0.079771,47.7826
0.252014,83.4083
0.25732356,69.9652
0.24713416,78.3957
-0.08171485,37.8421
0.24802996,65.4778
0.24752149,76.0205
0.24504906,70.843
0.25188452,77.7258
0.047446173,37.6011
0.1136884,38.674
0.2540082,69.0588
0.24040477,71.962
0.23677295,42.0856
0.24129242,74.5397
0.17700247,56.3388
0.17693374,41.5304
0.248913,75.3861
0.24364364,81.5278
0.24634951,62.1042
0.24682559,74.3189
0.24302265,71.7097
0.2425029,80.4271
0.2385466,85.0968
0.22571678,46.6608
0.24856533,77.5858
0.14053679,51.9195
0.19849041,53.006
0.10968503,50.3763
0.15115322,35.1412
0.22905618,76.8312
-0.081548326,38.1554
0.23318586,53.4333
0.2527565,81.9773
0.24579878,69.1902
0.24167053,58.4895
0.23948453,72.3462
0.24968424,72.2176
0.20645767,48.0519
0.2480643,80.2807
0.25287783,44.8256
0.25125766,67.0884
0.23749988,76.1667
0.25183162,53.8092
0.24649833,52.3594
0.2505133,66.4892
0.24708709,57.0
0.25099385,74.2873
0.25180277,63.1839
0.21402007,56.4521
0.22522621,47.5187
0.23924062,44.8971
0.25225797,49.8497
0.2541457,81.8222
0.25093967,74.7647
0.24788159,77.4551
0.23916352,39.123
0.24656749,49.4444
0.2459239,65.4608
0.2512685,74.1071
-0.08259009,20.4406
0.24763314,91.1313
0.053286012,57.3204
0.14597128,58.1867
0.24740791,64.7835
0.21366939,74.4483
0.23110639,38.8777
0.24121726,81.0943
0.24673615,39.2086
0.2478001,75.7143
0.2586486,87.0859
0.055476476,46.3077
0.21853733,55.3835
0.24885759,70.8486
-0.071800165,35.2749
0.258841,56.6415
0.15325779,43.4892
0.24697393,46.9444
0.25168195,86.1709
0.23321973,46.2238
0.24900964,71.095
0.23675372,66.9632
0.24899355,52.3441
0.2533776,71.5491
0.24541108,66.5815
0.23206635,66.4593
0.24178179,85.8091
0.1784118,46.1517
0.25144994,46.6273
0.24501812,69.3657
0.09858605,62.987
0.17746326,71.6203
0.24239558,50.385
-0.068337,37.8824
0.2470989,72.642
0.2549226,81.6325
0.011188722,35.8462
-0.080831535,36.5086
0.24983148,87.8585
-0.00022853163,27.2485
0.22738753,73.4245
-0.007824297,49.1111
0.24995333,60.6719
-0.056280714,47.2959
0.01712429,44.4845
0.04858215,37.858
0.2527825,75.0204
0.21878482,39.4971
-0.08098051,33.9518
-0.08102693,36.0333
-0.049674682,33.9801
0.23318912,58.0795
0.24927492,62.3243
0.18881859,56.9636
0.046089787,52.1065
0.25211614,65.3693
0.23255679,54.024
0.2440696,66.1658
-0.03974908,69.2781
0.2313181,84.9903
0.23989417,84.532
0.23466296,70.8629
0.2508857,67.6078
0.22410145,86.53
0.25085646,72.0794
0.24717179,89.2689
0.25333476,78.8442
0.25224215,90.8788
-0.08156164,23.7704
0.23806521,69.9155
0.23616311,62.1639
0.25079864,67.869
0.243224,71.4773
0.22290874,43.9005
0.24230637,82.8776
0.17815177,47.7402
0.24675205,67.4641
0.21736416,61.2217
0.2465071,67.0729
0.14641334,45.799
0.06833892,62.8774
0.16884167,38.3
0.24672599,87.1329
0.2326247,64.1244
0.24250652,75.0229
0.24152145,63.7714
0.24493676,65.9427
0.23232692,78.5928
0.24477006,77.2019
0.20225224,46.0611
0.025761718,58.6099
0.2506778,74.9505
-0.08464701,27.2126
0.23535143,64.193
0.24011008,62.6744
0.24666633,59.9947
0.1532869,58.367
0.19267423,52.0
0.17194752,59.4882
0.2229667,63.7011
-0.07878923,56.8361
-0.043170627,44.152
0.24558093,60.0559
0.2074441,58.7207
0.234075,57.5947
0.23940139,70.6193
0.24826717,76.6719
0.25431398,68.4948
0.04857203,56.4128
0.24736361,81.3516
0.25040275,82.573
0.245338,66.0347
0.24656469,83.0838
0.17017666,55.4301
0.24510388,85.2071
0.2466855,81.9227
0.24810043,87.6489
0.25528938,73.5323
0.2515681,78.8136
0.15390772,46.3822
0.14957078,39.3422
0.21847703,47.1299
-0.061428975,27.3091
0.25094596,78.5556
0.24816483,80.3536
0.22761363,72.178
0.09364872,52.8177
0.24069405,74.2079
-0.07960875,26.0497
0.25167796,71.7738
0.24396071,75.2238
0.24689613,70.0112
0.24611771,72.7368
0.25412366,72.7588
0.24487945,57.6856
0.25480267,60.4053
0.24715427,80.199
0.20146386,69.5399
0.22769961,80.2398
0.23781675,59.2431
0.2517242,88.0219
-0.08185033,25.2484
0.24865493,71.3464
0.20970355,70.9
0.24035259,57.0578
0.25082004,76.7188
0.24613683,85.7418
0.25436708,79.3295
0.254511,77.6527
0.2516413,57.7553
0.23160285,56.3086
0.25327224,73.7705
0.2448919,85.8129
-0.079213075,39.1942
0.24917391,65.6578
0.250402,70.7436
0.23957251,71.8769
0.24319999,69.3909
0.23999745,82.9815
0.08802874,54.3529
0.24766088,59.2645
0.2478974,76.6535
0.14025764,55.3564
0.100671254,52.9389
0.24934058,73.5285
0.24168341,58.382
0.24598871,59.2601
0.14121768,38.2353
0.14934744,52.7733
-0.06739691,37.062
-0.046206776,42.6774
0.24914953,81.2515
0.22998689,69.35
0.23998365,79.775
0.23101777,71.8718
0.24818069,47.1258
0.24301003,79.3155
0.24929565,68.8052
0.23848605,68.4787
0.22705941,86.3333
0.21535273,64.9667
0.24326552,64.0795
-0.028261933,46.1283
0.25159305,87.7442
0.20459291,62.9054
0.25110814,73.0254
-0.0651896,27.5249
0.059505377,51.5759
0.25147966,58.6421
0.2502008,71.6954
0.23542088,70.9887
0.24998663,62.9021
0.23209167,49.736
0.24899313,43.4969
0.25352123,69.2067
0.25732183,75.9554
0.253277,76.8757
0.23628953,35.9529
0.22266631,34.3556
0.2485757,71.6517
0.07884828,51.3829
0.10050879,45.5813
0.23816662,83.1737
0.23398462,67.3736
