predicted_scores,ground_truth_scores
0.24085627,63.963406
-0.07761881,25.335306
-0.06749052,48.93656
-0.077980585,35.886333
0.12839769,66.50924
-0.03355582,54.5797
0.17371197,77.88215
-0.07339847,32.561077
0.25439802,66.35955
-0.054056972,44.694984
-0.038250882,39.23456
-0.080115825,9.229074
-0.066002205,41.331352
0.2066711,68.92207
-0.07883369,27.957533
0.23870353,75.35152
0.10471208,50.63793
0.25816035,82.91071
-0.072833076,32.136906
0.09564677,51.84153
-0.077895224,30.31875
0.21426548,68.21714
-0.07843162,24.871134
-0.07722366,31.293785
-0.07941027,26.097702
0.25115043,70.43275
-0.07808888,26.530865
-0.066072784,51.317074
-0.020441348,60.94729
-0.07982242,18.784883
-0.07977347,19.75
0.24006505,79.36709
0.20345291,67.29775
0.26082465,70.9946
0.23829782,81.90503
0.18388228,52.84302
-0.062018648,41.4269
-0.008704058,48.813663
0.26631147,72.88268
-0.07886422,15.895238
0.25685915,86.608696
0.02400411,48.529034
0.26103154,73.02591
-0.08014148,27.005714
-0.07990317,32.30899
-0.06611758,65.94301
0.25341493,67.163155
0.104057156,59.842106
0.25769553,67.58696
0.2260144,61.92857
0.25809216,77.4023
0.25564647,77.458336
-0.079818025,20.581818
-0.07318193,26.405714
0.24269708,61.149483
0.25833046,76.92391
0.24217142,55.592392
0.01379878,34.21118
0.261932,71.32336
-0.064391606,41.97076
0.18663222,72.45744
-0.051224954,66.39412
0.251502,65.79618
0.08206274,55.77922
0.26828873,79.43787
0.2465877,73.08808
-0.07994647,11.977143
0.25364938,73.63905
-0.07989988,28.512821
-0.08001694,17.51923
0.2623489,79.416664
0.2584491,73.834435
-0.0018600991,56.398964
-0.074797966,41.347057
-0.080312446,8.246836
0.17524894,70.6375
-0.056932524,46.369427
0.2506798,80.5
0.23507652,71.86339
-0.04342223,49.79581
0.26244062,75.17778
0.10657707,65.418076
-0.07896849,30.109196
0.25874823,77.60215
0.25716287,60.287956
-0.07806099,25.136364
0.24269445,63.045227
0.26253405,74.54067
0.2630267,72.91
0.23274887,74.36478
0.05298375,61.34536
0.07332441,58.430107
0.031791154,53.70238
0.17465603,66.10844
0.25301957,61.461987
-0.06931509,39.413406
-0.07550532,29.128204
-0.009130044,52.631313
-0.059833527,23.012121
0.24835382,67.0
0.24498338,56.469944
0.08472829,49.807693
0.021577645,28.711956
-0.0638728,28.959538
-0.0029090615,46.053764
0.21535556,64.55191
-0.08075558,31.72947
0.0066554607,46.474747
-0.0019351136,35.483517
0.22300443,74.66082
-0.075529024,26.666666
0.2485448,69.18408
0.13886209,61.788887
0.2614414,55.482353
0.25414297,78.51724
0.23442285,66.21229
-0.0741767,30.936047
-0.07999346,9.139072
0.18367364,49.5
-0.079387754,24.515152
0.05207647,50.994415
0.2519027,75.481705
0.2670589,77.95977
0.25495777,72.59091
-0.0539707,43.66864
0.22927478,53.841465
0.08448418,52.2907
0.26085114,76.385414
0.24921773,70.54211
-0.062062614,42.686047
0.041077055,61.712643
-0.080015324,13.113924
0.26197776,73.111115
0.0059225536,57.191357
0.2546912,75.179016
0.20448986,68.14724
0.25071946,67.9885
-0.07056428,48.803467
0.082324296,53.02062
0.25302032,67.28221
0.256998,84.16022
0.16862658,59.256546
0.24930513,68.31126
-0.07970364,14.638298
0.24408084,64.05294
-0.02241374,49.475677
0.2354087,72.7076
-0.05962611,41.1
0.106439665,57.666668
-0.029185593,52.0
0.06203925,43.247128
0.104409136,45.37107
0.26358563,81.76878
0.2050794,81.255554
0.12622306,64.680626
0.085152596,53.15244
-0.07938924,30.983051
0.24959262,68.824326
0.13959953,59.03185
-0.08002461,3.4975846
0.26463902,77.11392
0.013270872,53.08
0.21370783,59.45
-0.046902303,43.88205
-0.06238484,34.123455
-0.009578525,56.445087
-0.07951265,10.727273
0.0049771206,52.030487
0.2446916,74.27219
0.24969351,74.94936
0.26822162,73.184784
-0.068728454,35.83598
0.014678957,50.574585
