predicted_scores,ground_truth_scores
-0.080140695,1.187
-0.08221462,1.518
-0.08220715,1.553
-0.08195789,1.553
-0.08197548,1.577
-0.08148912,1.589
-0.08165819,1.609
-0.08202888,1.625
-0.045329638,1.625
-0.08076035,1.658
-0.08119039,1.691
-0.07677904,1.691
-0.08013991,1.691
-0.08018652,1.696
-0.08117451,1.718
-0.082038224,1.718
-0.08244852,1.732
-0.080990255,1.744
-0.08083964,1.758
-0.07891436,1.801
-0.082741775,1.85
-0.08178557,1.857
-0.08133397,1.875
0.10209654,1.877
-0.078847595,1.89
0.051722214,1.911
0.08211588,1.911
-0.034567162,1.923
0.11016189,1.925
-0.08061111,1.946
0.10432404,1.957
-0.0813584,1.961
-0.072932035,1.982
-0.07810812,1.982
-0.0819255,1.993
-0.08146367,2.01
0.021651298,2.023
-0.08197517,2.025
-0.01710652,2.054
-0.082321,2.054
0.19832069,2.056
0.12297717,2.062
-0.07156347,2.089
-0.07909607,2.089
-0.07918124,2.089
0.01684664,2.089
0.052460548,2.089
-0.082043126,2.089
-0.07974327,2.089
-0.06592209,2.121
-0.08255908,2.125
0.19298545,2.142
-0.07959504,2.142
-0.08439297,2.144
-0.012482927,2.144
0.110076435,2.144
0.21286279,2.156
0.013263299,2.156
0.004645096,2.169
-0.08165717,2.169
0.06753294,2.171
-0.08096258,2.171
-0.07525611,2.171
-0.08110524,2.185
0.033271935,2.189
0.06843392,2.189
0.049116135,2.195
0.03415835,2.195
0.11376469,2.222
0.18634269,2.226
0.14070517,2.226
0.23910236,2.226
-0.0011116085,2.226
-0.07244549,2.249
0.22241825,2.255
0.18074197,2.255
-0.045085367,2.255
-0.07144133,2.268
0.07595832,2.281
-0.08006739,2.282
0.14234123,2.282
-0.00825048,2.288
-0.08104081,2.302
-0.06649569,2.302
0.10104919,2.304
-0.081174254,2.308
-0.013283604,2.314
-0.039198935,2.314
0.047867265,2.322
0.23482661,2.322
-0.019539233,2.328
0.17087637,2.328
0.03684628,2.335
-0.047893737,2.339
-0.07751973,2.339
-0.070401564,2.339
0.13260518,2.339
0.19632423,2.339
-0.03449018,2.339
0.24055108,2.339
0.17554083,2.346
-0.05800034,2.346
-0.01251008,2.355
0.15563998,2.355
0.081613734,2.355
-0.043622807,2.355
-0.022568772,2.375
-0.0531867,2.375
0.114418164,2.375
0.1426939,2.375
0.16110963,2.375
-0.08030391,2.388
0.19264726,2.39
0.24393505,2.41
0.05877774,2.411
-0.016571198,2.411
-0.038025234,2.411
-0.06979946,2.411
0.2240264,2.411
0.11196836,2.411
-0.014573028,2.411
0.19067343,2.417
0.22782743,2.421
-0.007462915,2.421
-0.08011858,2.434
0.1723834,2.442
0.23429686,2.442
0.15251726,2.442
0.1675892,2.445
0.16466513,2.445
-0.07897227,2.447
