predicted_scores,ground_truth_scores
-0.078278214,48.86
0.26645854,73.0
-0.08049799,12.5
0.26285046,56.25
0.25290707,59.88
0.2671997,74.13
0.2041272,56.0
0.26389465,64.71
-0.08076935,25.17
-0.03582505,50.29
0.12271975,51.83
0.2166781,58.83
-0.080564335,32.78
0.2582537,67.86
-0.07909135,34.4
0.2640094,67.14
-0.0806042,7.43
0.04021019,46.71
-0.08036588,32.86
0.26666462,73.88
-0.011160151,49.14
-0.08021082,16.0
0.21633106,42.5
0.26390693,58.88
0.012618328,60.13
-0.06555049,43.57
0.25949526,64.57
0.26344025,77.38
-0.080741376,12.83
0.20539737,42.44
0.2646482,71.89
-0.075937204,22.0
-0.08071544,34.0
-0.07418676,34.0
0.26946387,79.89
-0.08050327,37.18
0.26456732,80.56
-0.08009018,23.0
0.26614976,80.5
-0.080981046,37.11
-0.0451048,39.33
-0.060970757,42.25
0.26434046,75.38
-0.081010915,34.5
0.18896198,57.56
-0.08022293,34.29
0.26569486,73.83
-0.08121152,30.14
-0.080735505,26.0
-0.08042698,22.08
0.22797786,57.0
0.26806206,69.58
0.26746318,81.18
-0.07124008,46.45
-0.08053365,34.64
0.26429668,62.8
0.22982074,54.55
0.25503448,59.92
-0.08058595,33.55
0.25563875,61.5
0.26257852,67.43
0.20248401,57.71
-0.080882356,22.63
-0.0804112,5.63
-0.0764109,38.05
0.26076978,62.82
0.26679325,71.88
-0.08052051,35.28
0.123606026,69.75
0.26181996,65.72
-0.079536505,33.12
0.2680969,80.33
0.08219146,43.07
-0.07436463,47.31
-0.07936013,32.47
0.26509985,72.5
-0.080554724,35.14
0.25822556,78.86
0.2686755,84.56
-0.07513684,41.83
-0.08099181,32.5
-0.08047262,19.57
-0.08092975,34.33
0.25772035,66.38
-0.08046059,49.63
-0.08060942,32.71
0.17958839,61.67
0.25904498,74.5
-0.08096547,37.57
-0.08059071,32.14
0.26809424,83.5
-0.08083823,33.33
0.26503402,69.5
0.21013916,58.75
-0.080495894,27.3
-0.040605433,54.8
-0.079173036,46.5
0.25006232,74.27
-0.08031945,23.18
0.19954376,74.44
-0.080920756,28.5
0.26702705,80.27
-0.080715425,48.45
0.2638378,77.17
-0.07919715,61.9
0.18236457,61.45
-0.080767624,36.92
-0.08072085,33.4
0.2558804,81.58
-0.080941826,27.11
-0.08033475,16.11
-0.08050101,21.11
-0.04025282,68.16
-0.08079976,23.0
-0.045175724,49.76
0.23829544,61.72
0.26806095,76.88
0.24668384,64.17
0.2668491,70.12
0.26013634,64.17
-0.08034213,27.67
-0.081103384,40.13
0.26315692,73.14
-0.07904504,41.0
-0.08017063,26.71
-0.05256503,34.13
0.16652875,53.38
-0.08053102,30.57
0.26752144,81.43
0.26683703,57.43
0.2649126,66.13
0.17626984,51.57
-0.07945896,38.86
-0.08076628,46.57
-0.081040256,46.38
-0.079646,40.35
-0.07592697,33.47
-0.08012515,8.82
0.2641584,84.06
-0.08009984,46.18
-0.07946107,37.4
-0.07620829,45.81
-0.07750718,37.0
-0.06394411,50.71
0.17477484,65.27
0.15013915,61.13
-0.080631636,33.47
-0.078023165,36.07
-0.08072124,25.19
-0.080692925,37.81
-0.080374725,26.67
-0.08055234,35.33
-0.08030364,36.5
-0.08090217,43.5
-0.07374206,52.83
